OutcomeType	Breed	Color	Name	Selected	AnimalType	SexuponOutcome	AgeuponOutcome
Euthanasia	Pit Bull/English Bulldog	Red/White	Allaster	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Black/White	Nelly	No	Cat	Neutered Male	Under 1 year
Adoption	Pit Bull Mix	White/Black	Maximus	No	Dog	Neutered Male	1-3 years
Transfer	Rat Terrier Mix	Tricolor	Bella	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Female	Under 1 year
Return_to_owner	American Bulldog Mix	White/Brown Brindle	Menches	No	Dog	Spayed Female	1-3 years
Adoption	Pug Mix	Sable	Rachel	No	Dog	Spayed Female	Under 1 year
Transfer	Chihuahua Shorthair Mix	Black/White		No	Dog	Intact Male	1-3 years
Adoption	Chihuahua Shorthair/Italian Greyhound	White/Black	Spots	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Evelyn	No	Cat	Spayed Female	Under 1 year
Transfer	Pomeranian Mix	Buff	Jordan	No	Dog	Spayed Female	1-3 years
Adoption	Chihuahua Shorthair Mix	White/Black	Pinto	No	Dog	Neutered Male	1-3 years
Adoption	Australian Shepherd Mix	Brown Brindle/White	Tesla	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby	Kit Kat	No	Cat	Neutered Male	Under 1 year
Return_to_owner	German Shepherd Mix	Tricolor	Sabana	No	Dog	Spayed Female	1-3 years
Adoption	Jack Russell Terrier Mix	White/Brown	Charlie	No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Medium Hair Mix	Brown Tabby/White	Simba	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Cream Tabby	Zelda	No	Cat	Spayed Female	11+ years
Adoption	Domestic Shorthair Mix	White	Jax	No	Cat	Neutered Male	1-3 years
Return_to_owner	Harrier Mix	Black/Tricolor	Texas	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	1-3 years
Adoption	Chihuahua Shorthair Mix	Tan/White	Tripod	No	Dog	Neutered Male	4-6 years
Transfer	Boxer Mix	Brown/White	Rocky	No	Dog	Neutered Male	7-10 years
Adoption	Pit Bull Mix	Blue/White	Lebowski	No	Dog	Neutered Male	1-3 years
Return_to_owner	Chihuahua Shorthair Mix	Yellow	Biscuit	No	Dog	Neutered Male	Under 1 year
Died	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Transfer	Pit Bull Mix	Black/White	Negro	No	Dog	Intact Male	1-3 years
Transfer	Domestic Shorthair Mix	Lynx Point		No	Cat	Neutered Male	4-6 years
Transfer	Chihuahua Shorthair Mix	Buff		No	Dog	Neutered Male	1-3 years
Return_to_owner	German Shepherd Mix	Black/Brown	Sadie	No	Dog	Intact Female	Under 1 year
Return_to_owner	American Bulldog Mix	White/Brown	Cane	No	Dog	Neutered Male	1-3 years
Return_to_owner	German Shepherd/Greyhound	Brown Brindle	Lillie	No	Dog	Intact Female	7-10 years
Adoption	Domestic Medium Hair Mix	Black/White	Onyx	No	Cat	Spayed Female	Under 1 year
Adoption	American Bulldog Mix	White/Brown	Sarah	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Medium Hair Mix	Calico		No	Cat	Intact Female	Under 1 year
Adoption	Maine Coon Mix	Brown Tabby	Moosey	No	Cat	Neutered Male	Under 1 year
Transfer	Pit Bull Mix	Yellow Brindle	Amarillo	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Medium Hair Mix	Blue Tabby/White	Ozzy	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Labrador Retriever Mix	Black/White	Lily	No	Dog	Spayed Female	1-3 years
Adoption	Pug Mix	Buff	Laya	No	Dog	Spayed Female	Under 1 year
Adoption	Anatol Shepherd Mix	Brown/White	Sally	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Doodle	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Torbie	Hadley	No	Cat	Spayed Female	Under 1 year
Adoption	Yorkshire Terrier Mix	Black/Brown	Bella	No	Dog	Spayed Female	4-6 years
Transfer	British Shorthair Mix	Silver Tabby	Crystal	No	Cat	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Oliver	No	Cat	Neutered Male	Under 1 year
Adoption	Pit Bull Mix	White	Valentine	No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Blue Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Medium Hair Mix	Black		No	Cat	Spayed Female	Under 1 year
Return_to_owner	Chihuahua Shorthair/Miniature Pinscher	Tricolor	Mclean	No	Dog	Neutered Male	7-10 years
Adoption	Dachshund/German Pinscher	Red/Black	Lulu	No	Dog	Spayed Female	1-3 years
Transfer	Chihuahua Shorthair Mix	White/Black		No	Dog	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Male	Under 1 year
Adoption	Rat Terrier Mix	Black/White	Hailey	No	Dog	Spayed Female	1-3 years
Adoption	Chihuahua Shorthair/Yorkshire Terrier	White/Tan	Beatrice	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Female	Under 1 year
Adoption	Chihuahua Shorthair Mix	Chocolate		No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	1-3 years
Adoption	Chihuahua Shorthair Mix	Black/White	Minnie	No	Dog	Spayed Female	7-10 years
Return_to_owner	Yorkshire Terrier Mix	Tan/Black	Star	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Unknown	Under 1 year
Return_to_owner	Pointer Mix	White/Tan	Marley	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Male	Under 1 year
Transfer	Yorkshire Terrier Mix	Sable	Amador	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Belgian Malinois Mix	Tan/Black	Kino	No	Dog	Neutered Male	1-3 years
Transfer	Norwegian Forest Cat Mix	Brown Tabby	Mr Fabulous	No	Cat	Neutered Male	4-6 years
Return_to_owner	Labrador Retriever Mix	Cream	Sadie	No	Dog	Spayed Female	11+ years
Transfer	Domestic Shorthair Mix	Black	Heems	No	Cat	Neutered Male	1-3 years
Return_to_owner	Chihuahua Longhair Mix	Tan	Shoshes	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Male	Under 1 year
Return_to_owner	Beagle Mix	White/Tan	Brownie	No	Dog	Spayed Female	1-3 years
Return_to_owner	Jack Russell Terrier Mix	White/Black	Jackie	No	Dog	Spayed Female	7-10 years
Transfer	Domestic Shorthair Mix	Torbie/White		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Female	Under 1 year
Adoption	Border Collie/Labrador Retriever	Black/White	Chance	No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Longhair Mix	White/Black	Luno	No	Cat	Neutered Male	7-10 years
Return_to_owner	Pit Bull Mix	Red/White	Brownie	No	Dog	Spayed Female	1-3 years
Adoption	Siamese Mix	White/Black	Arya	No	Cat	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	White	Snowflake	No	Cat	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White	Cloud	No	Cat	Neutered Male	1-3 years
Euthanasia	Rottweiler/Labrador Retriever	Black/Tan	Dukey	No	Dog	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Black/White	Greta	No	Cat	Spayed Female	Under 1 year
Adoption	Siamese/Japanese Bobtail	Seal Point	Aloha	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Unknown	Under 1 year
Return_to_owner	Australian Kelpie Mix	Brown/White	Ranger	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Anubis	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Beagle	Tricolor	Tracker	No	Dog	Neutered Male	11+ years
Return_to_owner	Australian Cattle Dog Mix	Black/Tan		No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Male	Under 1 year
Transfer	Rat Terrier Mix	White/Black	Dolly	No	Dog	Spayed Female	11+ years
Transfer	Cairn Terrier Mix	Tan	Mimi	No	Dog	Spayed Female	4-6 years
Adoption	Flat Coat Retriever/Australian Cattle Dog	Black/Brown	Bear	No	Dog	Neutered Male	1-3 years
Transfer	Pit Bull Mix	Tan/White	Action	No	Dog	Intact Male	1-3 years
Euthanasia	Labrador Retriever/Boxer	Brown/White	Star	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Black Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Boxer Mix	Fawn/White	Zeta	No	Dog	Spayed Female	1-3 years
Adoption	Border Collie Mix	Black/White	Jack	No	Dog	Neutered Male	1-3 years
Return_to_owner	Chihuahua Longhair Mix	Brown	Gypsi	No	Dog	Intact Female	7-10 years
Return_to_owner	Miniature Pinscher Mix	Black/Brown	Dazzle	No	Dog	Spayed Female	11+ years
Return_to_owner	Chihuahua Longhair Mix	Brown/White	Canella	No	Dog	Intact Female	1-3 years
Transfer	Labrador Retriever Mix	Black Brindle/Brown	Felix	No	Dog	Intact Male	7-10 years
Return_to_owner	Boxer Mix	Fawn/White	Sam	No	Dog	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Cream Tabby		No	Cat	Intact Male	1-3 years
Transfer	Shih Tzu Mix	White/Cream	Jack	No	Dog	Intact Male	1-3 years
Adoption	Chihuahua Shorthair/Dachshund	Brown/White	Goldie	No	Dog	Neutered Male	1-3 years
Return_to_owner	Pit Bull Mix	Tan	Brownie	No	Dog	Spayed Female	1-3 years
Return_to_owner	Siamese Mix	Lynx Point	Simon	No	Cat	Neutered Male	7-10 years
Adoption	Domestic Medium Hair Mix	Black	Ace	No	Cat	Intact Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	White/Tan	Laika	No	Dog	Spayed Female	1-3 years
Adoption	Maltese	White	Dandy	No	Dog	Neutered Male	7-10 years
Adoption	Domestic Shorthair Mix	Torbie	Juliet	No	Cat	Spayed Female	Under 1 year
Adoption	Miniature Schnauzer Mix	Black/White	Mr. Magoo	No	Dog	Neutered Male	1-3 years
Transfer	Field Spaniel Mix	Black/Brown	Rocky	No	Dog	Neutered Male	1-3 years
Adoption	Pit Bull Mix	Chocolate/White	Charm	No	Dog	Spayed Female	1-3 years
Return_to_owner	Labrador Retriever Mix	Black	Cherry	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Blue Tabby		No	Cat	Unknown	Under 1 year
Adoption	Affenpinscher Mix	Gray/Black	Prinsess Joj	No	Dog	Spayed Female	1-3 years
Adoption	Beagle Mix	Buff/Black	Spock	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Male	Under 1 year
Transfer	Boxer Mix	Red/White		No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Blue Tabby/White		No	Cat	Intact Male	Under 1 year
Adoption	Miniature Schnauzer Mix	Black/White		No	Dog	Neutered Male	1-3 years
Adoption	Miniature Poodle/Miniature Schnauzer	Black	Lenny	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	White/Black	Cyprus	No	Cat	Unknown	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Black	Whiskers	No	Dog	Neutered Male	Under 1 year
Transfer	Plott Hound/Blue Lacy	Brown Brindle	Kazy	No	Dog	Spayed Female	1-3 years
Adoption	Labrador Retriever Mix	Black/White	Pocahontas	No	Dog	Spayed Female	Under 1 year
Transfer	Pit Bull/Chinese Sharpei	Blue/White	Maddi	No	Dog	Spayed Female	1-3 years
Return_to_owner	Rottweiler	Black/Tan	Bishop	No	Dog	Intact Male	1-3 years
Transfer	Catahoula Mix	Blue Merle/White	Sammy	No	Dog	Intact Male	Under 1 year
Transfer	Siamese Mix	Tortie Point		No	Cat	Intact Female	Under 1 year
Transfer	Jack Russell Terrier/Cairn Terrier	Tan	Stella	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Calico	Belle	No	Cat	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Orange/White		No	Cat	Neutered Male	Under 1 year
Return_to_owner	Shih Tzu Mix	White/Gray	Hanna	No	Dog	Spayed Female	7-10 years
Euthanasia	Domestic Medium Hair Mix	Orange Tabby	Orange Cat	No	Cat	Neutered Male	7-10 years
Return_to_owner	Jack Russell Terrier/Shih Tzu	Chocolate/Brown	Hercules	No	Dog	Neutered Male	Under 1 year
Adoption	Australian Cattle Dog Mix	Tricolor	Fennel	No	Dog	Neutered Male	Under 1 year
Transfer	Miniature Poodle Mix	White		No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair	Orange Tabby		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White	Basil	No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Black	Bell	No	Cat	Spayed Female	Under 1 year
Adoption	Labrador Retriever Mix	Black/White	Mona Lisa	No	Dog	Spayed Female	Under 1 year
Transfer	Queensland Heeler/Dachshund	Blue Tick/Red Tick		No	Dog	Intact Male	Under 1 year
Transfer	Miniature Schnauzer/Miniature Poodle	Chocolate	Poochie	No	Dog	Spayed Female	Under 1 year
Transfer	Miniature Schnauzer	Silver		No	Dog	Spayed Female	1-3 years
Adoption	Maltese Mix	Buff		No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby/White	Pappy	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Cream/White	Faith	No	Cat	Neutered Male	Under 1 year
Adoption	Black Mouth Cur/Staffordshire	Fawn	Latte	No	Dog	Spayed Female	4-6 years
Adoption	Labrador Retriever/Redbone Hound	Sable/White	Maggie	No	Dog	Spayed Female	1-3 years
Transfer	Great Pyrenees	White	Ellie	No	Dog	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby	Aggie	No	Cat	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	1-3 years
Return_to_owner	Jack Russell Terrier Mix	Brown	Kiss	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Pug	Tan/Black	Lucy	No	Dog	Spayed Female	7-10 years
Transfer	Chihuahua Shorthair/Dachshund	Red/White	Hogan	No	Dog	Neutered Male	Under 1 year
Transfer	American Staffordshire Terrier Mix	Black/White	Gidget	No	Dog	Spayed Female	1-3 years
Return_to_owner	Chihuahua Shorthair Mix	Sable	Jenny	No	Dog	Spayed Female	Under 1 year
Transfer	German Shepherd Mix	Sable	Stanley	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Calico	Precious	No	Cat	Spayed Female	4-6 years
Return_to_owner	Rottweiler Mix	Black/Tan	Sadie	No	Dog	Spayed Female	1-3 years
Adoption	Dachshund/Manchester Terrier	Brown/White	Chester	No	Dog	Neutered Male	Under 1 year
Transfer	Beauceron Mix	Black/Tan	Lola	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby	Ebbie	No	Cat	Spayed Female	4-6 years
Adoption	Jack Russell Terrier Mix	White/Buff	Skye	No	Dog	Spayed Female	Under 1 year
Transfer	Pit Bull Mix	Black/White		No	Dog	Intact Male	Under 1 year
Return_to_owner	German Shepherd Mix	Black/Brown	Lucy	No	Dog	Spayed Female	Under 1 year
Adoption	Dachshund/Chihuahua Shorthair	Tricolor	Mickey	No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Blue/Orange	Storm	No	Cat	Spayed Female	7-10 years
Adoption	Domestic Medium Hair Mix	Black	Raji	No	Cat	Neutered Male	Under 1 year
Adoption	Dachshund Mix	Black/Tricolor	Cocoa	No	Dog	Intact Female	1-3 years
Adoption	Domestic Shorthair Mix	Blue	Ash	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Domestic Shorthair Mix	Brown Tabby/White	Liffy	No	Cat	Neutered Male	4-6 years
Adoption	Catahoula/Pointer	Brown Merle/White		No	Dog	Spayed Female	Under 1 year
Euthanasia	Siberian Husky Mix	Brown	Brandie	No	Dog	Spayed Female	7-10 years
Adoption	Maine Coon Mix	Torbie	Cass	No	Cat	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Black	Peanut	No	Cat	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Female	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Buff	Bobo	No	Dog	Neutered Male	1-3 years
Return_to_owner	Beagle Mix	Tricolor	Dante	No	Dog	Intact Male	7-10 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Transfer	Jack Russell Terrier/Shih Tzu	Gray/White		No	Dog	Neutered Male	1-3 years
Adoption	Pit Bull Mix	White/Blue	Jambalaya	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Black	Moosifer	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Tortie	Abigail	No	Cat	Spayed Female	1-3 years
Transfer	Domestic Medium Hair Mix	Blue Tabby		No	Cat	Intact Male	Under 1 year
Euthanasia	Domestic Shorthair Mix	Blue/White		No	Cat	Intact Male	1-3 years
Adoption	Boxer/American Staffordshire Terrier	Brown/White	Nelson	No	Dog	Neutered Male	Under 1 year
Adoption	Rat Terrier Mix	White/Brown	Louie	No	Dog	Neutered Male	Under 1 year
Adoption	Jack Russell Terrier/Labrador Retriever	Sable/White	Buddy	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Beagle Mix	Tan/White		No	Dog	Spayed Female	4-6 years
Transfer	Snowshoe Mix	Seal Point	Cotton	No	Cat	Intact Female	Under 1 year
Return_to_owner	Pit Bull Mix	White	Bell	No	Dog	Spayed Female	Under 1 year
Transfer	Australian Shepherd Mix	Tricolor	Faith	No	Dog	Intact Female	Under 1 year
Adoption	Domestic Shorthair Mix	Black/White		No	Cat	Neutered Male	Under 1 year
Adoption	Catahoula Mix	Brown Merle/Blue Merle	Cowboy	No	Dog	Neutered Male	1-3 years
Return_to_owner	Domestic Shorthair Mix	Blue Tabby	Cali	No	Cat	Spayed Female	1-3 years
Return_to_owner	Boxer/Labrador Retriever	Brown	Steve	No	Dog	Neutered Male	7-10 years
Return_to_owner	Lhasa Apso Mix	White/Black	Cookie	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Medium Hair Mix	White/Blue		No	Cat	Intact Male	Under 1 year
Adoption	Basenji Mix	Tan/White	Chef	No	Dog	Neutered Male	4-6 years
Adoption	Chihuahua Shorthair Mix	Tan	Nelli	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black/White	Tywin	No	Cat	Intact Male	Under 1 year
Euthanasia	Miniature Poodle Mix	Black		No	Dog	Intact Male	1-3 years
Transfer	Pit Bull Mix	Brown Brindle/White	Chiquis	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Euthanasia	Australian Cattle Dog Mix	Brown		No	Dog	Intact Male	Under 1 year
Adoption	Australian Kelpie Mix	Black/Tan	Montie	No	Dog	Neutered Male	1-3 years
Adoption	Finnish Spitz/Dachshund	Red	Angel	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Tan	Cinnabun	No	Dog	Spayed Female	1-3 years
Transfer	Pit Bull Mix	Brown/White	Axel	No	Dog	Neutered Male	4-6 years
Transfer	Labrador Retriever Mix	Brown		No	Dog	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White	Ronnie	No	Cat	Intact Male	Under 1 year
Adoption	Catahoula Mix	Yellow Brindle/White	Rakscha	No	Dog	Spayed Female	4-6 years
Adoption	Black Mouth Cur Mix	Tan	Mack	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Black/White	Jed	No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	White/Brown Tabby		No	Cat	Intact Male	1-3 years
Transfer	Domestic Shorthair Mix	Blue Tabby		No	Cat	Unknown	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Sparkle	No	Cat	Intact Female	Under 1 year
Adoption	Black Mouth Cur	Tan	Rosie	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Medium Hair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Mason	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Calico	Goldie	No	Cat	Spayed Female	1-3 years
Adoption	Pit Bull Mix	Chocolate/White	Mr. Johnson	No	Dog	Neutered Male	1-3 years
Return_to_owner	Domestic Longhair Mix	Brown Tabby/White	Pancake	No	Cat	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Black	Leanda	No	Cat	Spayed Female	Under 1 year
Died	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Neutered Male	7-10 years
Transfer	Basset Hound Mix	Black/Tan	Clyde	No	Dog	Intact Male	1-3 years
Return_to_owner	German Shorthair Pointer Mix	Black/White	Spot	No	Dog	Intact Male	7-10 years
Euthanasia	Feist Mix	Black	Ben	No	Dog	Intact Male	1-3 years
Return_to_owner	Chihuahua Shorthair	Brown/White	Charlie	No	Dog	Neutered Male	1-3 years
Transfer	Pit Bull Mix	Tan/White	Frost	No	Dog	Neutered Male	4-6 years
Transfer	Jack Russell Terrier Mix	White/Black	Wayne	No	Dog	Neutered Male	7-10 years
Adoption	Labrador Retriever Mix	Brown/White	Huck	No	Dog	Neutered Male	1-3 years
Transfer	Labrador Retriever/American Pit Bull Terrier	Black/White	Jessica	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	Under 1 year
Adoption	Domestic Shorthair Mix	Tortie		No	Cat	Spayed Female	Under 1 year
Adoption	Siamese Mix	Flame Point		No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Torbie	Consuela	No	Cat	Spayed Female	Under 1 year
Return_to_owner	English Bulldog Mix	Brown Brindle/White	Man	No	Dog	Neutered Male	4-6 years
Adoption	Domestic Shorthair Mix	Orange Tabby/White	Simba	No	Cat	Neutered Male	Under 1 year
Adoption	Snowshoe Mix	Chocolate Point	Juliet	No	Cat	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Pris	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	White/Brown Tabby	Pixie	No	Cat	Spayed Female	1-3 years
Transfer	Shih Tzu Mix	White/White	Henry Jones	No	Dog	Neutered Male	1-3 years
Euthanasia	Domestic Shorthair Mix	Torbie	Bernice	No	Cat	Spayed Female	7-10 years
Transfer	Domestic Shorthair Mix	Black	Esteban	No	Cat	Intact Male	Under 1 year
Return_to_owner	Cocker Spaniel	Buff/White	Tanner	No	Dog	Neutered Male	11+ years
Transfer	Labrador Retriever Mix	Buff	Twink	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Shorthair Mix	Black	Batgirl	No	Cat	Spayed Female	Under 1 year
Transfer	Labrador Retriever	White		No	Dog	Intact Female	Under 1 year
Adoption	Labrador Retriever/Pit Bull	Black/White	Boots	No	Dog	Neutered Male	1-3 years
Return_to_owner	Carolina Dog Mix	Buff	Sputnik	No	Dog	Neutered Male	7-10 years
Adoption	Domestic Shorthair Mix	Calico	Quartz	No	Cat	Spayed Female	Under 1 year
Adoption	Australian Shepherd/Australian Cattle Dog	Black/Yellow Brindle	Remington	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Blue Tabby/White		No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Black		No	Cat	Neutered Male	Under 1 year
Transfer	Catahoula Mix	Tan/White		No	Dog	Intact Female	Under 1 year
Transfer	Siamese Mix	Lynx Point		No	Cat	Intact Female	Under 1 year
Transfer	Chihuahua Shorthair Mix	Red/White	Ginger	No	Dog	Spayed Female	4-6 years
Adoption	English Pointer Mix	Red/White	Maggie	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	1-3 years
Return_to_owner	Domestic Shorthair Mix	Brown Tabby		No	Cat	Spayed Female	Under 1 year
Return_to_owner	Pit Bull Mix	Blue/White	Thane	No	Dog	Intact Male	1-3 years
Adoption	Chihuahua Shorthair Mix	Tan	Princessa	No	Dog	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Black/White	Tux	No	Cat	Neutered Male	Under 1 year
Transfer	Pit Bull Mix	Sable/White		No	Dog	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby	Denny	No	Cat	Neutered Male	Under 1 year
Adoption	Great Pyrenees Mix	Brown/Black		No	Dog	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Blue Tabby		No	Cat	Unknown	Under 1 year
Adoption	Collie Rough/Pembroke Welsh Corgi	Tan/Buff	Sweetie	No	Dog	Spayed Female	4-6 years
Euthanasia	Domestic Medium Hair Mix	Orange Tabby		No	Cat	Unknown	4-6 years
Adoption	Pit Bull Mix	White/Tan	Lou	No	Dog	Neutered Male	1-3 years
Transfer	Labrador Retriever/Pointer	White/Black	Martin	No	Dog	Intact Male	Under 1 year
Transfer	Chihuahua Shorthair/Cocker Spaniel	Tan/White	Shakira	No	Dog	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	White/Orange Tabby	Tiger	No	Cat	Neutered Male	7-10 years
Adoption	Chihuahua Shorthair Mix	Red	Champ	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Adoption	Domestic Shorthair Mix	Blue/White	Snow Toes	No	Cat	Spayed Female	Under 1 year
Adoption	Cairn Terrier Mix	Black	Spicy	No	Dog	Neutered Male	4-6 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	Under 1 year
Return_to_owner	Chihuahua Shorthair	Tan/White	Juan	No	Dog	Neutered Male	11+ years
Adoption	Pit Bull Mix	Black/White	Cookie	No	Dog	Spayed Female	1-3 years
Adoption	Siamese Mix	Flame Point	Ella	No	Cat	Spayed Female	7-10 years
Adoption	Domestic Shorthair Mix	Black	Sebastian	No	Cat	Neutered Male	Under 1 year
Adoption	Black Mouth Cur Mix	Tricolor		No	Dog	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Blue	Queso	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Doberman Pinsch Mix	Black/Tan	Jasper	No	Dog	Neutered Male	1-3 years
Return_to_owner	American Eskimo Mix	White/Tan	C.C.	No	Dog	Intact Male	11+ years
